product_id,product_name,best_supplier,reference_unit_cost,effective_unit_cost,bellman_ford_distance,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase,has_negative_edge
5301,MORTERO CON PILON DE PORCELANA 90MM,CORPORACION PROMELAB E.I.R.L.,9.5,8.5,-1.0,1.0,0.105263,10.0,1250.0,6,2026-01-03,True
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),MATRAZ PERU E.I.R.L.,2.861667,1.9,-0.961667,0.961667,0.336051,96.0,1697.0,3,2025-11-29,True
5522,PLACA PETRI DE VIDRIO 60,MATRAZ PERU E.I.R.L.,2.6,1.7,-0.9,0.9,0.346154,20.0,1697.0,1,2025-11-29,True
5187,EMBUDO VIDRIO 60MM,CORPORACION PROMELAB E.I.R.L.,4.857143,4.0,-0.857143,0.857143,0.176471,12.0,1250.0,7,2025-11-04,True
5348,FRASCO DE VIDRIO BOCA ANCHA AMBAR TAPA AZUL 250ML,CORPORACION PROMELAB E.I.R.L.,4.85,4.0,-0.85,0.85,0.175258,2.0,1250.0,2,2025-09-26,True
5264,FRASCO DE  VIDRIO BOCA ANCHA TAPA AZUL 500ML,CORPORACION PROMELAB E.I.R.L.,7.833333,7.0,-0.833333,0.833333,0.106383,12.0,1250.0,3,2025-10-25,True
5330,BOMBA PARA PIPETA,CORPORACION PROMELAB E.I.R.L.,7.833333,7.0,-0.833333,0.833333,0.106383,6.0,1250.0,6,2026-04-17,True
5109,PINZA DE MADERA PARA TUBO DE ENSAYO,CORPORACION PROMELAB E.I.R.L.,2.8125,2.0,-0.8125,0.8125,0.288889,5.0,1250.0,4,2025-05-30,True
5069,PISETA 1LT,CORPORACION PROMELAB E.I.R.L.,4.789999,4.0,-0.789999,0.789999,0.164927,110.0,1250.0,4,2026-03-13,True
5089,PROBETA DE VIDRIO GRADUADA C/PICO 10 ML,CORPORACION PROMELAB E.I.R.L.,5.75,5.0,-0.75,0.75,0.130435,10.0,1250.0,4,2025-10-15,True
5602,PIPETA SEREOLOGICA GRADUADA VIDRIO 2ML,CORPORACION PROMELAB E.I.R.L.,3.75,3.0,-0.75,0.75,0.2,5.0,1250.0,1,2026-03-27,True
5188,TUBO DE ENSAYO T/ROSCA 16*150 - PYREX,BIO CHEMICALSS S.A.C.,1.447143,0.7,-0.747143,0.747143,0.516288,250.0,500.0,7,2026-04-16,True
5134,POTE CREMERO VIDRIO TRANSPARENTE 50GR C/TAPA METALIZADA Y LAINA,ENVIPLAST E.I.R.L.,1.733334,1.0,-0.733334,0.733334,0.423077,100.0,2050.0,6,2026-03-03,True
5456,POTE PLASTICO TIPO PROTEINA BLANCO 1KG C/TAPA,ESNA MEDIC INVERSIONES S.A.C.,2.925,2.2,-0.725,0.725,0.247863,50.0,3650.0,2,2025-11-25,True
5093,PROBETA DE PLASTICO GRADUADA 50 ML,IMPORTADORA ANDINA E.I.R.L,3.633333,2.94,-0.693333,0.693333,0.190826,2.0,66.0,1,2025-10-03,True
5125,FRASCO PET TRANSPARENTE 120ML CON TAPA ESPRAY N28,ENVIPLAST E.I.R.L.,1.475,0.8,-0.675,0.675,0.457627,50.0,2050.0,4,2025-06-10,True
5139,PAPEL FILTRO RAPIDO X PLIEGO 50*50,CORPORACION PROMELAB E.I.R.L.,1.768182,1.1,-0.668182,0.668182,0.377892,500.0,1250.0,11,2025-12-03,True
5136,FRASCO MINI PARA AROMATIZADOR VIDRIO 6ML C/TAPA,ENVIPLAST E.I.R.L.,1.85,1.2,-0.65,0.65,0.351351,25.0,2050.0,2,2025-06-03,True
5259,FRASCO DE VIDRIO BOCA ANCHA TAPA AZUL 1L NIU S/20.0,CORPORACION PROMELAB E.I.R.L.,9.6,9.0,-0.6,0.6,0.0625,8.0,1250.0,5,2026-02-21,True
5448,PAPEL LENTE 100*150MM WHATMAN TISSUE 105 (CJ *50HJS),CORPORACION PROMELAB E.I.R.L.,5.6,5.0,-0.6,0.6,0.107143,12.0,1250.0,5,2026-04-16,True
5596,CREMERO DE VIDRIO 50GR PAVONADO,ENVIPLAST E.I.R.L.,2.4,1.8,-0.6,0.6,0.25,120.0,2050.0,2,2026-03-31,True
